Iteration;Rows;Total rows;Time;Total time;Memory [GiB];Memory Percent [%];CPU [%];Memory [GiB];Memory Percent [%];CPU [%];Memory [GiB];Memory Percent [%];CPU [%]
0;0;0;0;0;1,328;66,40;107;1,319;0,6595;98;0,7;0,35;70
1;15000;15000;11621;11621;1,331;66,55;103;1,35;0,675;370;1,35;0,675;370
2;15000;30000;9768;21389;1,334;66,70;100,6;1,46;0,73;180;1,46;0,73;180
3;15000;45000;11973;33362;1,336;66,80;100,48;1,54;0,77;179;1,54;0,77;179
4;15000;60000;9115;42477;1,337;66,85;104,97;1,78;0,89;205;1,78;0,89;205
5;15000;75000;10436;52913;1,338;66,90;106;1,95;0,975;216,8;1,95;0,975;216,8
6;15000;90000;9121;62034;1,338;66,90;83;2,26;1,13;113,65;2,26;1,13;113,65
7;15000;105000;10607;72641;1,339;66,95;103;2,68;1,34;211,3;2,68;1,34;211,3
8;15000;120000;13436;86077;1,338;66,90;138;2,27;1,135;107,25;2,27;1,135;107,25
9;15000;135000;15568;101645;1,339;66,95;106;2,28;1,14;208,84;2,28;1,14;208,84
10;15000;150000;14162;115807;1,34;67,00;107,26;2,28;1,14;107,26;2,28;1,14;107,26
11;15000;165000;12357;128164;1,34;67,00;99;2,28;1,14;101;2,28;1,14;101
12;15000;180000;10669;138833;1,34;67,00;96;2,37;1,185;184,14;2,37;1,185;184,14
13;15000;195000;9602;148435;1,34;67,00;122;2,39;1,195;218,17;2,39;1,195;218,17
14;15000;210000;14890;163325;1,34;67,00;162;2,39;1,195;103,57;2,39;1,195;103,57
15;15000;225000;12974;176299;1,34;67,00;99;2,39;1,195;208,14;2,39;1,195;208,14
16;15000;240000;11405;187704;1,34;67,00;105;2,39;1,195;109;2,39;1,195;109
17;15000;255000;13219;200923;1,34;67,00;104;2,39;1,195;104;2,39;1,195;104
18;15000;270000;11877;212800;1,34;67,00;98;2,39;1,195;103;2,39;1,195;103
19;15000;285000;13090;225890;1,34;67,00;136;2,39;1,195;109;2,39;1,195;109
20;15000;300000;14218;240108;1,34;67,00;144;2,39;1,195;105;2,39;1,195;105
21;6241;306241;4692;244800;1,34;67,00;95;2,39;1,195;114;2,39;1,195;114
;;;;;NODE1(MASTER);;;NODE2;; ;NODE3;;
